masdar,screeve,subject,conjugation
ღირებულება,Present,2nd singular,ღირხარ
ღირებულება,Present,3rd singular,ღირს
ღირებულება,Present,1st plural,ვღირვართ
ღირებულება,Present,2nd plural,ღირხართ
ღირებულება,Present,3rd plural,ღირან
ღირებულება,Aorist,1st singular,ვღირდი
ღირებულება,Aorist,2nd singular,ღირდი
ღირებულება,Aorist,3rd singular,ღირდა
ღირებულება,Aorist,1st plural,ვღირდით
ღირებულება,Aorist,2nd plural,ღირდით
ღირებულება,Aorist,3rd plural,ღირდნენ
ხველება,Present,1st singular,ვახველებ
ხველება,Present,2nd singular,ახველებ
ხველება,Present,3rd singular,ახველებს
ხველება,Present,1st plural,ვახველებთ
ხველება,Present,2nd plural,ახველებთ
ხველება,Present,3rd plural,ახველებენ
ხველება,Aorist,1st singular,დავახველე
ხველება,Aorist,2nd singular,დაახველე
ხველება,Aorist,3rd singular,დაახველა
ხველება,Aorist,1st plural,დავახველეთ
ხველება,Aorist,2nd plural,დაახველეთ
ხველება,Aorist,3rd plural,დაახველეს
დაფარება,Present,1st singular,ვაფარებ
დაფარება,Present,2nd singular,აფარებ
დაფარება,Present,3rd singular,აფარებს
დაფარება,Present,1st plural,ვაფარებთ
დაფარება,Present,2nd plural,აფარებთ
დაფარება,Present,3rd plural,აფარებენ
დაფარება,Aorist,1st singular,დავაფარე
დაფარება,Aorist,2nd singular,დააფარე
დაფარება,Aorist,3rd singular,დააფარა
დაფარება,Aorist,1st plural,დავაფარეთ
დაფარება,Aorist,2nd plural,დააფარეთ
დაფარება,Aorist,3rd plural,დააფარეს
გაგიჟება,Present,1st singular,"&#(/$%""("
გაგიჟება,Present,2nd singular,"#(/$%""("
გაგიჟება,Present,3rd singular,"#(/$%""!"
გაგიჟება,Present,1st plural,"&#(/$%""('"
გაგიჟება,Present,2nd plural,"#(/$%""('"
გაგიჟება,Present,3rd plural,"#(/$%""(!,"
გაგიჟება,Aorist,1st singular,#!&#(/$(
გაგიჟება,Aorist,2nd singular,#!#(/$(
გაგიჟება,Aorist,3rd singular,#!#(/$!
გაგიჟება,Aorist,1st plural,#!&#(/$('
გაგიჟება,Aorist,2nd plural,#!#(/$('
გაგიჟება,Aorist,3rd plural,"#!#(/$,%,"
გაჩენა,Present,1st singular,ვჩნდები
გაჩენა,Present,2nd singular,ჩნდები
გაჩენა,Present,3rd singular,ჩნდება
გაჩენა,Present,1st plural,ვჩნდებით
გაჩენა,Present,2nd plural,ჩნდებით
გაჩენა,Present,3rd plural,ჩნდებიან
გაჩენა,Aorist,1st singular,გავჩნდი
გაჩენა,Aorist,2nd singular,გაჩნდი
გაჩენა,Aorist,3rd singular,გაჩნდა
გაჩენა,Aorist,1st plural,გავჩნდით
გაჩენა,Aorist,2nd plural,გაჩნდით
გაჩენა,Aorist,3rd plural,გაჩნდნენ
გაჭედვა,Present,1st singular,ვიჭედები
გაჭედვა,Present,2nd singular,იჭედები
გაჭედვა,Present,3rd singular,იჭედება
გაჭედვა,Present,1st plural,ვიჭედებით
გაჭედვა,Present,2nd plural,იჭედებით
გაჭედვა,Present,3rd plural,იჭედებიან
გაჭედვა,Aorist,1st singular,გავიჭედე
გაჭედვა,Aorist,2nd singular,გაიჭედე
გაჭედვა,Aorist,3rd singular,გაიჭედა
გაჭედვა,Aorist,1st plural,გავიჭედეთ
გაჭედვა,Aorist,2nd plural,გაიჭედეთ
გაჭედვა,Aorist,3rd plural,გაიჭედნენ
ტირილი,Present,1st singular,ვტირი
ტირილი,Present,2nd singular,ტირი
ტირილი,Present,3rd singular,ტირის
ტირილი,Present,1st plural,ვტირით
ტირილი,Present,2nd plural,ტირით
ტირილი,Present,3rd plural,ტირიან
ტირილი,Aorist,1st singular,ვიტირე
ტირილი,Aorist,2nd singular,იტირე
ტირილი,Aorist,3rd singular,იტირა
ტირილი,Aorist,1st plural,ვიტირეთ
ტირილი,Aorist,2nd plural,იტირეთ
ტირილი,Aorist,3rd plural,იტირეს
ტირილი,Future,1st singular,ვიტირებ
ტირილი,Future,2nd singular,იტირებ
ტირილი,Future,3rd singular,იტირებს
ტირილი,Future,1st plural,ვიტირებთ
ტირილი,Future,2nd plural,იტირებთ
ტირილი,Future,3rd plural,იტირებენ
გაჭრა,Present,1st singular,ვიჭრი
გაჭრა,Present,2nd singular,იჭრი
გაჭრა,Present,3rd singular,იჭრის
გაჭრა,Present,1st plural,ვიჭრით
გაჭრა,Present,2nd plural,იჭრით
გაჭრა,Present,3rd plural,იჭრიან
გაჭრა,Aorist,1st singular,გავიჭერი
გაჭრა,Aorist,2nd singular,გაიჭერი
გაჭრა,Aorist,3rd singular,გაიჭრა
გაჭრა,Aorist,1st plural,გავიჭერით
გაჭრა,Aorist,2nd plural,გაიჭერით
გაჭრა,Aorist,3rd plural,გაიჭრეს
მოჭრა,Present,1st singular,ვჭრი
მოჭრა,Present,2nd singular,ჭრი
მოჭრა,Present,3rd singular,ჭრის
მოჭრა,Present,1st plural,ვჭრით
მოჭრა,Present,2nd plural,ჭრით
მოჭრა,Present,3rd plural,ჭრიან
მოჭრა,Aorist,1st singular,მოვჭერი
მოჭრა,Aorist,2nd singular,მოჭერი
მოჭრა,Aorist,3rd singular,მოჭრა
მოჭრა,Aorist,1st plural,მოვჭერით
მოჭრა,Aorist,2nd plural,მოჭერით
მოჭრა,Aorist,3rd plural,მოჭრეს
დაზიანება,Present,1st singular,ვაზიანებ
დაზიანება,Present,2nd singular,აზიანებ
დაზიანება,Present,3rd singular,აზიანებს
დაზიანება,Present,1st plural,ვაზიანებთ
დაზიანება,Present,2nd plural,აზიანებთ
დაზიანება,Present,3rd plural,აზიანებენ
დაზიანება,Aorist,1st singular,დავაზიანე
დაზიანება,Aorist,2nd singular,დააზიანე
დაზიანება,Aorist,3rd singular,დააზიანა
დაზიანება,Aorist,1st plural,დავაზიანეთ
დაზიანება,Aorist,2nd plural,დააზიანეთ
დაზიანება,Aorist,3rd plural,დააზიანეს
ცეკვა,Present,1st singular,&:%)&!&
ცეკვა,Present,2nd singular,:%)&!&
ცეკვა,Present,3rd singular,:%)&!&1
ცეკვა,Present,1st plural,&:%)&!&'
ცეკვა,Present,2nd plural,:%)&!&'
ცეკვა,Present,3rd plural,":%)&!&%,"
დაღამება,Present,1st singular,N/A
დაღამება,Present,2nd singular,N/A
დაღამება,Present,3rd singular,ღამდება
დაღამება,Present,1st plural,N/A
დაღამება,Present,2nd plural,N/A
დაღამება,Present,3rd plural,ღამდებიან
აღწერა,Present,1st singular,აღვწერ
აღწერა,Present,2nd singular,აღწერ
აღწერა,Present,3rd singular,აღწერს
აღწერა,Present,1st plural,აღვწერთ
აღწერა,Present,2nd plural,აღწერთ
აღწერა,Present,3rd plural,აღწერენ
აღწერა,Aorist,1st singular,აღვწერე
აღწერა,Aorist,2nd singular,აღწერე
აღწერა,Aorist,3rd singular,აღწერა
აღწერა,Aorist,1st plural,აღვწერეთ
აღწერა,Aorist,2nd plural,აღწერეთ
აღწერა,Aorist,3rd plural,აღწერეს
აოხრება,Present,1st singular,ვაოხრებ
აოხრება,Present,2nd singular,აოხრებ
აოხრება,Present,3rd singular,აოხრებს
აოხრება,Present,1st plural,ვაოხრებთ
აოხრება,Present,2nd plural,აოხრებთ
აოხრება,Present,3rd plural,აოხრებენ
აოხრება,Aorist,1st singular,ავაოხრე
აოხრება,Aorist,2nd singular,ააოხრე
აოხრება,Aorist,3rd singular,ააოხრა
აოხრება,Aorist,1st plural,ავაოხრეთ
აოხრება,Aorist,2nd plural,ააოხრეთ
აოხრება,Aorist,3rd plural,ააოხრეს
სიკვდილი,Present,1st singular,"&)&$%""("
სიკვდილი,Present,2nd singular,)ვდები
სიკვდილი,Present,3rd singular,)ვდება
სიკვდილი,Present,1st plural,"&)&$%""('"
სიკვდილი,Present,2nd plural,)ვდებით
სიკვდილი,Present,3rd plural,)ვდებიან
სიკვდილი,Aorist,1st singular,+-&)&$(
სიკვდილი,Aorist,2nd singular,+-)&$(
სიკვდილი,Aorist,3rd singular,+-)&$!
სიკვდილი,Aorist,1st plural,+-&)&$('
სიკვდილი,Aorist,2nd plural,+-)&$('
სიკვდილი,Aorist,3rd plural,"+-)&$,%,"
გაძნელება,Present,1st singular,N/A
გაძნელება,Present,2nd singular,N/A
გაძნელება,Present,3rd singular,ძნელდება
გაძნელება,Present,1st plural,N/A
გაძნელება,Present,2nd plural,N/A
გაძნელება,Present,3rd plural,ძნელდებიან
სადილობა,Present,1st singular,ვსადილობ
სადილობა,Present,2nd singular,სადილობ
სადილობა,Present,3rd singular,სადილობს
სადილობა,Present,1st plural,ვსადილობთ
სადილობა,Present,2nd plural,სადილობთ
სადილობა,Present,3rd plural,სადილობენ
გაუჩინარება,Present,1st singular,ვუჩინარდები
გაუჩინარება,Present,2nd singular,უჩინარდები
გაუჩინარება,Present,3rd singular,უჩინარდება
გაუჩინარება,Present,1st plural,ვუჩინარდებით
გაუჩინარება,Present,2nd plural,უჩინარდებით
გაუჩინარება,Present,3rd plural,უჩინარდებიან
გაუჩინარება,Aorist,1st singular,გავუჩინარდი
გაუჩინარება,Aorist,2nd singular,გაუჩინარდი
გაუჩინარება,Aorist,3rd singular,გაუჩინარდა
გაუჩინარება,Aorist,1st plural,გავუჩინარდით
გაუჩინარება,Aorist,2nd plural,გაუჩინარდით
გაუჩინარება,Aorist,3rd plural,გაუჩინარდნენ
განხილვა,Present,1st singular,ვიხილავ
განხილვა,Present,2nd singular,იხილავ
განხილვა,Present,3rd singular,იხილავს
განხილვა,Present,1st plural,ვიხილვთ
განხილვა,Present,2nd plural,იხილავთ
განხილვა,Present,3rd plural,იხილავენ
განხილვა,Aorist,1st singular,განვიხილე
განხილვა,Aorist,2nd singular,განიხილე
განხილვა,Aorist,3rd singular,განიხილა
განხილვა,Aorist,1st plural,განვიხილეთ
განხილვა,Aorist,2nd plural,განიხილეთ
განხილვა,Aorist,3rd plural,განიხილეს
ყვინდვა,Present,1st singular,ვყვინთავ
ყვინდვა,Present,2nd singular,ყვინთავ
ყვინდვა,Present,3rd singular,ყვინთავს
ყვინდვა,Present,1st plural,ვყვინთავთ
ყვინდვა,Present,2nd plural,ყვინთავთ
ყვინდვა,Present,3rd plural,ყვინთავენ
ყვინდვა,Aorist,1st singular,ჩავყვინთე
ყვინდვა,Aorist,2nd singular,ჩაყვინთე
ყვინდვა,Aorist,3rd singular,ჩაყვინთა
ყვინდვა,Aorist,1st plural,ჩავყვინთეთ
ყვინდვა,Aorist,2nd plural,ჩაყვინთეთ
ყვინდვა,Aorist,3rd plural,ჩაყვინთეს
გაკედება,Present,1st singular,"&!)%'%"""
გაკედება,Present,2nd singular,"!)%'%"""
გაკედება,Present,3rd singular,"!)%'%""1"
გაკედება,Present,1st plural,"&!)%'%""'"
გაკედება,Present,2nd plural,"!)%'%""'"
გაკედება,Present,3rd plural,"!)%'%""%,"
გაკედება,Aorist,1st singular,#!&!)%'%
გაკედება,Aorist,2nd singular,#!!)%'%
გაკედება,Aorist,3rd singular,#!!)%'!
გაკედება,Aorist,1st plural,#!&!)%'%'
გაკედება,Aorist,2nd plural,#!!)%'%'
გაკედება,Aorist,3rd plural,#!!)%'%1
ეჭვი,Present,1st singular,ვეჭვობ
ეჭვი,Present,2nd singular,ეჭვობ
ეჭვი,Present,3rd singular,ეჭვობს
ეჭვი,Present,1st plural,ვეჭვობთ
ეჭვი,Present,2nd plural,ეჭვობთ
ეჭვი,Present,3rd plural,ეჭვობენ
ჩამოტვირდვა,Present,1st singular,ვტვირთავ
ჩამოტვირდვა,Present,2nd singular,ტვირთავ
ჩამოტვირდვა,Present,3rd singular,ტვირთავს
ჩამოტვირდვა,Present,1st plural,ვტვირთავთ
ჩამოტვირდვა,Present,2nd plural,ტვირთავთ
ჩამოტვირდვა,Present,3rd plural,ტვირთავენ
ჩამოტვირდვა,Aorist,1st singular,ჩამოვტვირთე
ჩამოტვირდვა,Aorist,2nd singular,ჩამოტვირთე
ჩამოტვირდვა,Aorist,3rd singular,ჩამოტვირთა
ჩამოტვირდვა,Aorist,1st plural,ჩამოვტვირთეთ
ჩამოტვირდვა,Aorist,2nd plural,ჩამოტვირთეთ
ჩამოტვირდვა,Aorist,3rd plural,ჩამოტვირთეს
ხატვა,Present,1st singular,ვხატავ
ხატვა,Present,2nd singular,ხატავ
ხატვა,Present,3rd singular,ხატავს
ხატვა,Present,1st plural,ვხატავთ
ხატვა,Present,2nd plural,ხატავთ
ხატვა,Present,3rd plural,ხატავენ
ხატვა,Aorist,1st singular,დავხატე
ხატვა,Aorist,2nd singular,დახატე
ხატვა,Aorist,3rd singular,დახატა
ხატვა,Aorist,1st plural,დავხატეთ
ხატვა,Aorist,2nd plural,დახატეთ
ხატვა,Aorist,3rd plural,დახატეს
სიზმარის ნახვა,Present,1st singular,სიზმარს
სიზმარის ნახვა,Present,2nd singular,სიზმარს
სიზმარის ნახვა,Present,3rd singular,სიზმარს
სიზმარის ნახვა,Present,1st plural,სიზმარს
სიზმარის ნახვა,Present,2nd plural,სიზმარს
სიზმარის ნახვა,Present,3rd plural,სიზმარს
სიზმარის ნახვა,Aorist,1st singular,სიზმარი
სიზმარის ნახვა,Aorist,2nd singular,სიზმარი
სიზმარის ნახვა,Aorist,3rd singular,სიზმარი
სიზმარის ნახვა,Aorist,1st plural,სიზმარი
სიზმარის ნახვა,Aorist,2nd plural,სიზმარი
სიზმარის ნახვა,Aorist,3rd plural,სიზმარი
სიზმარის ნახვა,Future,1st singular,სიზმარს
სიზმარის ნახვა,Future,2nd singular,სიზმარს
სიზმარის ნახვა,Future,3rd singular,სიზმარს
სიზმარის ნახვა,Future,1st plural,სიზმარს
სიზმარის ნახვა,Future,2nd plural,სიზმარს
სიზმარის ნახვა,Future,3rd plural,სიზმარს
დალევა,Present,1st singular,ვსვამ
დალევა,Present,2nd singular,სვამ
დალევა,Present,3rd singular,სვამს
დალევა,Present,1st plural,ვსვამთ
დალევა,Present,2nd plural,სვამთ
დალევა,Present,3rd plural,სვამენ
დალევა,Aorist,1st singular,დავლიე
დალევა,Aorist,2nd singular,დალიე
დალევა,Aorist,3rd singular,დალია
დალევა,Aorist,1st plural,დავლიეთ
დალევა,Aorist,2nd plural,დალიეთ
დალევა,Aorist,3rd plural,დალიეს
დალევა,Future,1st singular,დავლევ
დალევა,Future,2nd singular,დალევ
დალევა,Future,3rd singular,დალევს
დალევა,Future,1st plural,დავლევთ
დალევა,Future,2nd plural,დალევთ
დალევა,Future,3rd plural,დალევენ
მანქანის ტარება,Present,1st singular,მანქანას
მანქანის ტარება,Present,2nd singular,მანქანას
მანქანის ტარება,Present,3rd singular,მანქანას
მანქანის ტარება,Present,1st plural,მანქანას
მანქანის ტარება,Present,2nd plural,მანქანას
მანქანის ტარება,Present,3rd plural,მანქანას
შეღებვა,Present,1st singular,ვიღებავ
შეღებვა,Present,2nd singular,იღებავ
შეღებვა,Present,3rd singular,იღებავს
შეღებვა,Present,1st plural,ვიღებავთ
შეღებვა,Present,2nd plural,იღებავთ
შეღებვა,Present,3rd plural,იღებავენ
შეღებვა,Aorist,1st singular,შევიღებე
შეღებვა,Aorist,2nd singular,შეიღებე
შეღებვა,Aorist,3rd singular,შეიღება
შეღებვა,Aorist,1st plural,შევიღებეთ
შეღებვა,Aorist,2nd plural,შეიღებეთ
შეღებვა,Aorist,3rd plural,შეიღებეს
ჭამა,Present,1st singular,ვჭამ
ჭამა,Present,2nd singular,ჭამ
ჭამა,Present,3rd singular,ჭამს
ჭამა,Present,1st plural,ვჭამთ
ჭამა,Present,2nd plural,ჭამთ
ჭამა,Present,3rd plural,ჭამენ
ჭამა,Aorist,1st singular,შევჭამე
ჭამა,Aorist,2nd singular,შეჭამე
ჭამა,Aorist,3rd singular,შეჭამა
ჭამა,Aorist,1st plural,შევჭამეთ
ჭამა,Aorist,2nd plural,შეჭამეთ
ჭამა,Aorist,3rd plural,შეჭამეს
ამოყვინდვა,Present,1st singular,ამოვყვინთავ
ამოყვინდვა,Present,2nd singular,ამოყვინთავ
ამოყვინდვა,Present,3rd singular,ამოყვინთავს
ამოყვინდვა,Present,1st plural,ამოვყვინთავთ
ამოყვინდვა,Present,2nd plural,ამოყვინთავთ
ამოყვინდვა,Present,3rd plural,ამოყვინთავენ
ამოყვინდვა,Aorist,1st singular,ამოვყვინთე
ამოყვინდვა,Aorist,2nd singular,ამოყვინთე
ამოყვინდვა,Aorist,3rd singular,ამოყვინთა
ამოყვინდვა,Aorist,1st plural,ამოვყვინთეთ
ამოყვინდვა,Aorist,2nd plural,ამოყვინთეთ
ამოყვინდვა,Aorist,3rd plural,ამოყვინთეს
დაცლა,Present,1st singular,ვცლი
დაცლა,Present,2nd singular,ცლი
დაცლა,Present,3rd singular,ცლის
დაცლა,Present,1st plural,ვცლით
დაცლა,Present,2nd plural,ცლით
დაცლა,Present,3rd plural,ცლიან
დაცლა,Aorist,1st singular,დავცალე
დაცლა,Aorist,2nd singular,დაცალე
დაცლა,Aorist,3rd singular,დაცგლა
დაცლა,Aorist,1st plural,დავცალეთ
დაცლა,Aorist,2nd plural,დაცალეთ
დაცლა,Aorist,3rd plural,დაცალეს
გამხნევება,Present,1st singular,ვამხნევებ
გამხნევება,Present,2nd singular,ამხნევებ
გამხნევება,Present,3rd singular,ამხნევებს
გამხნევება,Present,1st plural,ვამხნევებთ
გამხნევება,Present,2nd plural,ამხნევებთ
გამხნევება,Present,3rd plural,ამხნევებენ
გამხნევება,Aorist,1st singular,გავამხნევე
გამხნევება,Aorist,2nd singular,გაამხნევე
გამხნევება,Aorist,3rd singular,გაამხნევა
გამხნევება,Aorist,1st plural,გავამხნევეთ
გამხნევება,Aorist,2nd plural,გაამხნევეთ
გამხნევება,Aorist,3rd plural,გაამხნევეს
დამდავრება,Present,1st singular,ვამთავრებ
დამდავრება,Present,2nd singular,ამთავრებ
დამდავრება,Present,3rd singular,ამთავრებს
დამდავრება,Present,1st plural,ვამთავრებთ
დამდავრება,Present,2nd plural,ამთავრებთ
დამდავრება,Present,3rd plural,ამთავრებენ
დამდავრება,Aorist,1st singular,დავამთავრე
დამდავრება,Aorist,2nd singular,დაამთავრე
დამდავრება,Aorist,3rd singular,დაამთავრა
დამდავრება,Aorist,1st plural,დავამთავრეთ
დამდავრება,Aorist,2nd plural,დაამთავრეთ
დამდავრება,Aorist,3rd plural,დაამთავრეს
მორჩება,Present,1st singular,ვრჩები
მორჩება,Present,2nd singular,რჩები
მორჩება,Present,3rd singular,რჩება
მორჩება,Present,1st plural,ვრჩებით
მორჩება,Present,2nd plural,რჩებით
მორჩება,Present,3rd plural,რჩებიან
მორჩება,Aorist,1st singular,მოვრჩი
მორჩება,Aorist,2nd singular,მორჩი
მორჩება,Aorist,3rd singular,მორჩა
მორჩება,Aorist,1st plural,მოვრჩით
მორჩება,Aorist,2nd plural,მორჩით
მორჩება,Aorist,3rd plural,მორჩნენ
დატკბობა,Present,1st singular,"&2)""%""("
დატკბობა,Present,2nd singular,"2)""%""("
დატკბობა,Present,3rd singular,"2)""%""!"
დატკბობა,Present,1st plural,"&2)""%""('"
დატკბობა,Present,2nd plural,"2)""%""('"
დატკბობა,Present,3rd plural,"2)""%""(!,"
წაშლა,Present,1st singular,ვშლი
წაშლა,Present,2nd singular,შლი
წაშლა,Present,3rd singular,შლის
წაშლა,Present,1st plural,ვშლით
წაშლა,Present,2nd plural,შლით
წაშლა,Present,3rd plural,შლიან
წაშლა,Aorist,1st singular,წავაშლე
წაშლა,Aorist,2nd singular,წაშალე
წაშლა,Aorist,3rd singular,წაშალა
წაშლა,Aorist,1st plural,წავშალეთ
წაშლა,Aorist,2nd plural,წაშალეთ
წაშლა,Aorist,3rd plural,წაშალეს
წამოძახება,Present,1st singular,წამოვიძახებ
წამოძახება,Present,2nd singular,წამოიძახებ
წამოძახება,Present,3rd singular,წამოიძახებს
წამოძახება,Present,1st plural,წამოვიძახებთ
წამოძახება,Present,2nd plural,წამოიძახებთ
წამოძახება,Present,3rd plural,წამოიძახებენ
წამოძახება,Aorist,1st singular,წამოვიძახე
წამოძახება,Aorist,2nd singular,წამოიძახე
წამოძახება,Aorist,3rd singular,წამოიძახა
წამოძახება,Aorist,1st plural,წამოვიძახეთ
წამოძახება,Aorist,2nd plural,წამოიძახეთ
წამოძახება,Aorist,3rd plural,წამოიძახეს
სიკვდილიდ დასჯა,Present,1st singular,1()&$(*('
სიკვდილიდ დასჯა,Present,2nd singular,1()&$(*('
სიკვდილიდ დასჯა,Present,3rd singular,1()&$(*('
სიკვდილიდ დასჯა,Present,1st plural,1()&$(*('
სიკვდილიდ დასჯა,Present,2nd plural,1()&$(*('
სიკვდილიდ დასჯა,Present,3rd plural,1()&$(*('
სიკვდილიდ დასჯა,Aorist,1st singular,1()&$(*('
სიკვდილიდ დასჯა,Aorist,2nd singular,1()&$(*('
სიკვდილიდ დასჯა,Aorist,3rd singular,1()&$(*('
სიკვდილიდ დასჯა,Aorist,1st plural,1()&$(*('
სიკვდილიდ დასჯა,Aorist,2nd plural,1()&$(*('
სიკვდილიდ დასჯა,Aorist,3rd plural,1()&$(*('
წაქცევა,Present,1st singular,ვიქცევი
წაქცევა,Present,2nd singular,იქცევი
წაქცევა,Present,3rd singular,იქცევა
წაქცევა,Present,1st plural,ვიქცევით
წაქცევა,Present,2nd plural,იქცევით
წაქცევა,Present,3rd plural,იქცევიან
წაქცევა,Aorist,1st singular,წავიქეცი
წაქცევა,Aorist,2nd singular,წაიქეცი
წაქცევა,Aorist,3rd singular,წაიქცა
წაქცევა,Aorist,1st plural,წავიქეცით
წაქცევა,Aorist,2nd plural,წაიქეცით
წაქცევა,Aorist,3rd plural,წაიქცნენ
ოცნება,Present,1st singular,ვოცნებობ
ოცნება,Present,2nd singular,ოცნებობ
ოცნება,Present,3rd singular,ოცნებობს
ოცნება,Present,1st plural,ვოცნებობთ
ოცნება,Present,2nd plural,ოცნებობთ
ოცნება,Present,3rd plural,ოცნებობენ
ოცნება,Aorist,1st singular,ვიოცნებე
ოცნება,Aorist,2nd singular,იოცნებე
ოცნება,Aorist,3rd singular,იოცნება
ოცნება,Aorist,1st plural,ვიოცნებეთ
ოცნება,Aorist,2nd plural,იოცნებეთ
ოცნება,Aorist,3rd plural,იოცნებეს
გრძნობა,Present,1st singular,ვგრძნობ
გრძნობა,Present,2nd singular,გრძნობ
გრძნობა,Present,3rd singular,გრძნობს
გრძნობა,Present,1st plural,ვგრძნობთ
გრძნობა,Present,2nd plural,გრძნობთ
გრძნობა,Present,3rd plural,გრძნობენ
ჩხუბი,Present,1st singular,ვჩხუბობ
ჩხუბი,Present,2nd singular,ჩხუბობ
ჩხუბი,Present,3rd singular,ჩხუბობს
ჩხუბი,Present,1st plural,ვჩხუბობთ
ჩხუბი,Present,2nd plural,ჩხუბობთ
ჩხუბი,Present,3rd plural,ჩხუბობენ
ჩხუბი,Aorist,1st singular,ვიჩხუბე
ჩხუბი,Aorist,2nd singular,იჩხუბე
ჩხუბი,Aorist,3rd singular,იჩხუბა
ჩხუბი,Aorist,1st plural,ვიჩხუბეთ
ჩხუბი,Aorist,2nd plural,იჩხუბეთ
ჩხუბი,Aorist,3rd plural,იჩხუბეს
პოვნა,Present,1st singular,ვპოულობ
პოვნა,Present,2nd singular,პოულობ
პოვნა,Present,3rd singular,პოულობს
პოვნა,Present,1st plural,ვპოულობთ
პოვნა,Present,2nd plural,პოულობთ
პოვნა,Present,3rd plural,პოულობენ
პოვნა,Aorist,1st singular,ვიპოვნე
პოვნა,Aorist,2nd singular,იპოვნე
პოვნა,Aorist,3rd singular,იპოვნა
პოვნა,Aorist,1st plural,ვიპოვნეთ
პოვნა,Aorist,2nd plural,იპოვნეთ
პოვნა,Aorist,3rd plural,იპოვნეს
დევზაობა,Present,1st singular,ვთევზაობ
დევზაობა,Present,2nd singular,თევზაობ
დევზაობა,Present,3rd singular,თევზაობს
დევზაობა,Present,1st plural,ვთევზაობთ
დევზაობა,Present,2nd plural,თევზაობთ
დევზაობა,Present,3rd plural,თევზაობენ
კეკლუცობა,Present,1st singular,"&)%)*3:-"""
კეკლუცობა,Present,2nd singular,")%)*3:-"""
კეკლუცობა,Present,3rd singular,")%)*3:-""1"
კეკლუცობა,Present,1st plural,"&)%)*3:-""'"
კეკლუცობა,Present,2nd plural,")%)*3:-""'"
კეკლუცობა,Present,3rd plural,")%)*3:-""%,"
გაფრენა,Present,1st singular,ვაფრენ
გაფრენა,Present,2nd singular,აფრენ
გაფრენა,Present,3rd singular,აფრენს
გაფრენა,Present,1st plural,ვაფრენთ
გაფრენა,Present,2nd plural,აფრენთ
გაფრენა,Present,3rd plural,აფრენენ
გაფრენა,Aorist,1st singular,მე
გაფრენა,Aorist,2nd singular,შენ
გაფრენა,Aorist,3rd singular,ის
გაფრენა,Aorist,1st plural,ჩვენ
გაფრენა,Aorist,2nd plural,თქვენ
გაფრენა,Aorist,3rd plural,ისინი
გაფრენა,Present,1st singular,ვფრინდები
გაფრენა,Present,2nd singular,ფრინდები
გაფრენა,Present,3rd singular,ფრინდება
გაფრენა,Present,1st plural,ვფრინდებით
გაფრენა,Present,2nd plural,ფრინდებით
გაფრენა,Present,3rd plural,ფრინდებიან
გაფრენა,Aorist,1st singular,გავფრინდი
გაფრენა,Aorist,2nd singular,გაფრინდი
გაფრენა,Aorist,3rd singular,გაფრინდა
გაფრენა,Aorist,1st plural,გავფრინდით
გაფრენა,Aorist,2nd plural,გაფრინდით
გაფრენა,Aorist,3rd plural,გაფრინდნენ
მიყოლა,Present,1st singular,მივყვები
მიყოლა,Present,2nd singular,მიყვები
მიყოლა,Present,3rd singular,მიყვება
მიყოლა,Present,1st plural,მივყვებით
მიყოლა,Present,2nd plural,მიყვებით
მიყოლა,Present,3rd plural,მიყვებიან
მიყოლა,Aorist,1st singular,მივყევი
მიყოლა,Aorist,2nd singular,მიყევი
მიყოლა,Aorist,3rd singular,მიყვა
მიყოლა,Aorist,1st plural,მივყევით
მიყოლა,Aorist,2nd plural,მიყევით
მიყოლა,Aorist,3rd plural,მიყვნენ
აკრძალვა,Present,1st singular,&)0;!*!&
აკრძალვა,Present,2nd singular,)რძალავ
აკრძალვა,Present,3rd singular,)რძალავს
აკრძალვა,Present,1st plural,&)0;!*!&'
აკრძალვა,Present,2nd plural,)რძალავთ
აკრძალვა,Present,3rd plural,)რძალავენ
აკრძალვა,Aorist,1st singular,!&)0;!*%
აკრძალვა,Aorist,2nd singular,!)0;!*%
აკრძალვა,Aorist,3rd singular,!)0;!*!
აკრძალვა,Aorist,1st plural,!&)0;!*%'
აკრძალვა,Aorist,2nd plural,!)0;!*%'
აკრძალვა,Aorist,3rd plural,!)0;!*%1
დავიწყება,Present,1st singular,ვივიწყებ
დავიწყება,Present,2nd singular,ივიწყებ
დავიწყება,Present,3rd singular,ივიწყებს
დავიწყება,Present,1st plural,ვივიწყებთ
დავიწყება,Present,2nd plural,ივიწყებთ
დავიწყება,Present,3rd plural,ივიწყებენ
დავიწყება,Aorist,1st singular,დავივიწყე
დავიწყება,Aorist,2nd singular,დაივიწყე
დავიწყება,Aorist,3rd singular,დაივიწყა
დავიწყება,Aorist,1st plural,დავივიწყეთ
დავიწყება,Aorist,2nd plural,დაივიწყეთ
დავიწყება,Aorist,3rd plural,დაივიწყეს
შენდობა,Present,1st singular,შევუნდობ
შენდობა,Present,2nd singular,შეუნდობ
შენდობა,Present,3rd singular,შეუნდობს
შენდობა,Present,1st plural,შევუნდობთ
შენდობა,Present,2nd plural,შეუნდობთ
შენდობა,Present,3rd plural,შეუნდობენ
შენდობა,Aorist,1st singular,შევუნდე
შენდობა,Aorist,2nd singular,შეუნდე
შენდობა,Aorist,3rd singular,შეუნდო
შენდობა,Aorist,1st plural,შევუნდეთ
